step_id,latitude,longitude,risk_id,IncidentFromDate,IncidentToDate,CaseStatus,Description
7,69.91266372144914,-116.50436681392755,3,2025-11-06,2025-11-06,Active,Aggravated Assault
49,488.2499919338662,-83.08750040330669,8,2025-11-06,2025-11-06,Active,Theft From Building
53,528.20008548898,-81.089995725551,4,2025-11-06,2025-11-06,Active,Robbery
74,737.2389865306425,-61.276101346935754,5,2025-11-06,2025-11-06,Active,Robbery
