step_id,latitude,longitude,risk_id,IncidentFromDate,IncidentToDate,CaseStatus,Description
0,-60.0,-150.0,1,2025-11-06,2025-11-06,Active,Burglary
7,6.8135984624520916,-129.1207504804837,3,2025-11-06,2025-11-06,Active,Aggravated Assault
33,254.97839275155982,-51.56925226513756,7,2025-11-06,2025-11-06,Active,Theft From Building
53,446.48965019360713,5.758619607305894,4,2025-11-06,2025-11-06,Active,Robbery
57,485.5767047505191,14.25580538054764,8,2025-11-06,2025-11-06,Active,Theft From Building
73,641.9249229781673,48.244548473514634,9,2025-11-06,2025-11-06,Active,Theft From Building
76,670.9312898959495,55.860761170865864,5,2025-11-06,2025-11-06,Active,Robbery
113,1025.8354364176912,160.26733965366117,6,2025-11-06,2025-11-06,Closed,Motor Vehicle theft
