step_id,latitude,longitude,risk_id,IncidentFromDate,IncidentToDate,CaseStatus,Description
0,0.0,0.0,1,2025-11-06,2025-11-06,Active,Burglary
1,9.83606557377049,1.80327868852459,2,2025-11-06,2025-11-06,Active,Aggravated Assault
4,39.34426229508196,7.21311475409836,3,2025-11-06,2025-11-06,Active,Aggravated Assault
16,157.00596597018813,13.365274606956099,7,2025-11-06,2025-11-06,Active,Theft From Building
45,444.4838228882896,-4.605987349163541,4,2025-11-06,2025-11-06,Active,Robbery
47,464.43299688490424,-6.030928348921734,8,2025-11-06,2025-11-06,Active,Theft From Building
67,663.6614809312907,3.4682638373085073,5,2025-11-06,2025-11-06,Active,Robbery
67,663.6614809312907,3.4682638373085073,9,2025-11-06,2025-11-06,Active,Theft From Building
