step_id,latitude,longitude,risk_id,IncidentFromDate,IncidentToDate,CaseStatus,Description
0,-120.0,-20.0,1,2025-11-06,2025-11-06,Active,Burglary
13,8.705589545275586,-1.8824017424540678,2,2025-11-06,2025-11-06,Active,Aggravated Assault
15,28.433468021918458,1.4055780036530763,3,2025-11-06,2025-11-06,Active,Aggravated Assault
28,155.99692732196422,26.28505585470662,7,2025-11-06,2025-11-06,Active,Theft From Building
59,463.4357842580205,63.102556018430036,4,2025-11-06,2025-11-06,Active,Robbery
76,633.0037632292454,75.21455451637468,9,2025-11-06,2025-11-06,Active,Theft From Building
81,682.8766982207821,78.77690701577015,5,2025-11-06,2025-11-06,Active,Robbery
