step_id,latitude,longitude,risk_id,IncidentFromDate,IncidentToDate,CaseStatus,Description
0,0.0,0.0,1,2025-11-06,2025-11-06,Active,Burglary
1,9.48683298050514,3.1622776601683795,2,2025-11-06,2025-11-06,Active,Aggravated Assault
4,37.94733192202056,12.649110640673518,3,2025-11-06,2025-11-06,Active,Aggravated Assault
15,142.30249470757707,47.434164902525694,7,2025-11-06,2025-11-06,Active,Theft From Building
49,450.16678322512587,28.812543709422194,4,2025-11-06,2025-11-06,Active,Robbery
55,507.29797688688654,33.175505778278364,8,2025-11-06,2025-11-06,Active,Theft From Building
71,662.5207769101396,-5.630194227534908,5,2025-11-06,2025-11-06,Active,Robbery
73,681.9508460228483,-9.645300723118503,9,2025-11-06,2025-11-06,Active,Theft From Building
