step_id,latitude,longitude,risk_id,IncidentFromDate,IncidentToDate,CaseStatus,Description
0,0.0,160.0,2,2025-11-06,2025-11-06,Active,Aggravated Assault
13,129.7468352027755,151.89082279982654,7,2025-11-06,2025-11-06,Active,Theft From Building
52,519.1268559661141,130.0436572016943,4,2025-11-06,2025-11-06,Active,Robbery
63,629.1257652173642,130.0,9,2025-11-06,2025-11-06,Active,Theft From Building
72,719.1257652173642,130.0,5,2025-11-06,2025-11-06,Active,Robbery
102,1017.502656975825,160.12539854637373,6,2025-11-06,2025-11-06,Closed,Motor Vehicle theft
