step_id,latitude,longitude,risk_id,IncidentFromDate,IncidentToDate,CaseStatus,Description
0,0.0,0.0,1,2025-11-06,2025-11-06,Active,Burglary
1,9.863939238321437,-1.643989873053573,2,2025-11-06,2025-11-06,Active,Aggravated Assault
3,29.591817714964314,-4.931969619160719,3,2025-11-06,2025-11-06,Active,Aggravated Assault
22,217.0066632430716,-36.1677772071786,7,2025-11-06,2025-11-06,Active,Theft From Building
45,443.8772657244647,-6.020455712589223,4,2025-11-06,2025-11-06,Active,Robbery
47,463.6051442011075,-2.7324759664820775,8,2025-11-06,2025-11-06,Active,Theft From Building
66,651.0199897292149,28.503331621535807,9,2025-11-06,2025-11-06,Active,Theft From Building
68,670.7478682058577,31.791311367642955,5,2025-11-06,2025-11-06,Active,Robbery
