step_id,latitude,longitude,risk_id,IncidentFromDate,IncidentToDate,CaseStatus,Description
0,0.0,-120.0,1,2025-11-06,2025-11-06,Active,Burglary
1,9.987523388778447,-119.50062383056108,3,2025-11-06,2025-11-06,Active,Aggravated Assault
43,428.3248516011956,-86.08375741994023,8,2025-11-06,2025-11-06,Active,Theft From Building
46,458.2874217675309,-84.58562891162346,4,2025-11-06,2025-11-06,Active,Robbery
68,677.5367551180432,-67.24632448819568,5,2025-11-06,2025-11-06,Active,Robbery
78,777.0404741390421,-57.295952586095794,9,2025-11-06,2025-11-06,Active,Theft From Building
